stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\roger\Desktop\dev\vfxland5_starling\games\darkblue\vfxland5_01\bin\allegro5.cfg r
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08369] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08371] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08372] added dtor for sample_instance 140194f8, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08374] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08375] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08377] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.08378] added dtor for sample_instance 140196d8, func 69854a4a
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.08380] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08381] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.08383] 
system   D            wsystem.c:405  win_get_joystick_driver          [   0.08395] Selected combined XInput/DirectInput joystick driver.
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.08420] PathFindOnPath found: C:\WINDOWS\system32\xinput1_4.dll
system   D            wsystem.c:797  load_library_at_path             [   0.08423] Calling LoadLibrary C:\WINDOWS\system32\xinput1_4.dll
system   I            wsystem.c:800  load_library_at_path             [   0.08464] Loaded C:\WINDOWS\system32\xinput1_4.dll
xinput   I             wjoyxi.c:230  _imp_load_xinput_module_version  [   0.08469] Module "xinput1_4.dll" loaded.
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.08515] PathFindOnPath found: C:\WINDOWS\system32\dinput8.dll
system   D            wsystem.c:797  load_library_at_path             [   0.08518] Calling LoadLibrary C:\WINDOWS\system32\dinput8.dll
system   I            wsystem.c:800  load_library_at_path             [   0.08689] Loaded C:\WINDOWS\system32\dinput8.dll
dinput   I         wjoydxnu.cpp:1135 joydx_merge                      [   0.20282] Merged, num joysticks=0
system   D            wsystem.c:432  win_get_haptic_driver            [   0.20298] Selected combined XInput/DirectInput haptic driver.
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.20330] PathFindOnPath found: C:\WINDOWS\system32\user32.dll
system   D            wsystem.c:797  load_library_at_path             [   0.20334] Calling LoadLibrary C:\WINDOWS\system32\user32.dll
system   I            wsystem.c:800  load_library_at_path             [   0.20336] Loaded C:\WINDOWS\system32\user32.dll
touch    I       wtouch_input.c:90   _al_win_init_touch_input_api     [   0.20338] touch input API installed successfully
dtor     D               dtor.c:196  _al_register_destructor          [   0.20403] added dtor for bitmap 1405d930, func 69731cce
dtor     D               dtor.c:196  _al_register_destructor          [   0.20446] added dtor for bitmap 1405dab8, func 69731cce
dtor     D               dtor.c:196  _al_register_destructor          [   0.20548] added dtor for bitmap 14093710, func 69731cce
dtor     D               dtor.c:196  _al_register_destructor          [   0.20561] added dtor for sub_bitmap 140c6e88, func 69731cce
dtor     D               dtor.c:196  _al_register_destructor          [   0.20564] added dtor for sub_bitmap 140c7010, func 69731cce
dtor     D               dtor.c:196  _al_register_destructor          [   0.20565] added dtor for sub_bitmap 140c7198, func 69731cce
dtor     D               dtor.c:196  _al_register_destructor          [   0.20567] added dtor for sub_bitmap 140c7320, func 69731cce
dtor     D               dtor.c:196  _al_register_destructor          [   0.20568] added dtor for sub_bitmap 140c74a8, func 69731cce
dtor     D               dtor.c:196  _al_register_destructor          [   0.20570] added dtor for sub_bitmap 140c7630, func 69731cce
dtor     D               dtor.c:196  _al_register_destructor          [   0.20571] added dtor for sub_bitmap 140c77b8, func 69731cce
dtor     D               dtor.c:196  _al_register_destructor          [   0.20573] added dtor for sub_bitmap 140c7940, func 69731cce
dtor     D               dtor.c:196  _al_register_destructor          [   0.20574] added dtor for sub_bitmap 140c7ac8, func 69731cce
dtor     D               dtor.c:196  _al_register_destructor          [   0.20576] added dtor for sub_bitmap 140c7c50, func 69731cce
dtor     D               dtor.c:196  _al_register_destructor          [   0.20578] added dtor for sub_bitmap 140c7dd8, func 69731cce
dtor     D               dtor.c:196  _al_register_destructor          [   0.20579] added dtor for sub_bitmap 140c7f60, func 69731cce
dtor     D               dtor.c:196  _al_register_destructor          [   0.20581] added dtor for sub_bitmap 140c80e8, func 69731cce
dtor     D               dtor.c:196  _al_register_destructor          [   0.20582] added dtor for sub_bitmap 140c8270, func 69731cce
dtor     D               dtor.c:196  _al_register_destructor          [   0.20585] added dtor for sub_bitmap 140c85a8, func 69731cce
